name,condition,points,type,when to score,version,exclude after
Patrol Vast Territories,Have units in 5 systems that do not contain planets.,2,stage 2 public,status phase,pok,
Protect the Border,Have structures on 5 planets outside of your home system .,2,stage 2 public,status phase,pok,
Reclaim Ancient Monuments,Control 3 planets that have attachments .,2,stage 2 public,status phase,pok,
Rule Distant Lands,"Control 2 planets that are each in or adjacent to a different, other player's home system .",2,stage 2 public,status phase,pok,
Destroy Their Greatest Ship,Destroy another player's war sun or flagship .,1,secret,action phase,base game,
Make an Example of Their World,Use BOMBARDMENT to destroy the last of a player's ground forces on a planet.,1,secret,action phase,base game,codex 3
Spark a Rebellion,Win a combat against a player who has the most victory points.,1,secret,action phase,base game,
Turn Their Fleets to Dust,Use SPACE CANNON to destroy the last of a player's ships in a system.,1,secret,action phase,base game,codex 3
Unveil Flagship,Win a space combat in a system that contains your flagship . You cannot score this objective if your flagship is destroyed in the combat.,1,secret,action phase,base game,
Become a Martyr,Lose control of a planet in a home system .,1,secret,action phase,pok,
Betray a Friend,Win a combat against a player whose promissory note you had in your play area at the start of your tactical action .,1,secret,action phase,pok,
Brave the Void,Win a combat in an anomaly .,1,secret,action phase,pok,
Darken the Skies,Win a combat in another player's home system .,1,secret,action phase,pok,
Demonstrate Your Power,Have 3 or more non-fighter ships in the active system at the end of a space combat .,1,secret,action phase,pok,
Fight With Precision,Use ANTI-FIGHTER BARRAGE to destroy the last of a player's fighters in a system.,1,secret,action phase,pok,codex 3
Prove Endurance,Be the last player to pass during a game round.,1,secret,action phase,pok,
Adapt New Strategies,Own 2 faction technologies . (Valefar Assimilator technologies do not count toward this objective.),1,secret,status phase,base game,
Become the Gatekeeper,Have 1 or more ships in a system that contains an alpha wormhole and 1 or more ships in a system that contains a beta wormhole .,1,secret,status phase,base game,
Control the Region,Have 1 or more ships in 6 systems .,1,secret,status phase,base game,
Cut Supply Lines,Have 1 or more ships in the same system as another player's space dock .,1,secret,status phase,base game,
Establish a Perimeter,Have 4 PDS units on the game board.,1,secret,status phase,base game,
Forge an Alliance,Control 4 cultural planets.,1,secret,status phase,base game,
Form a Spy Network,Discard 5 Action Cards .,1,secret,status phase,base game,
Fuel the War Machine,Have 3 space docks on the game board.,1,secret,status phase,base game,
Gather a Mighty Fleet,Have 5 dreadnoughts on the game board.,1,secret,status phase,base game,
Learn the Secrets of the Cosmos,Have 1 or more ships in 3 systems that are each adjacent to an anomaly .,1,secret,status phase,base game,
Master the Laws of Physics,Own 4 technologies of the same color.,1,secret,status phase,base game,
Mine Rare Metals,Control 4 hazardous planets.,1,secret,status phase,base game,
Monopolize Production,Control 4 industrial planets.,1,secret,status phase,base game,
Occupy the Seat of the Empire,Control Mecatol Rex and have 3 or more ships in its system.,1,secret,status phase,base game,
Threaten Enemies,Have 1 or more ships in a system that is adjacent to another player's home system .,1,secret,status phase,base game,
Defy Space and Time,Have units in the wormhole nexus .,1,secret,status phase,pok,
Destroy Heretical Works,Purge 2 of your relic fragments of any type.,1,secret,status phase,pok,
Establish Hegemony,Control planets that have a combined influence value of at least 12.,1,secret,status phase,pok,
Foster Cohesion,Be neighbors with all other players.,1,secret,status phase,pok,
Hoard Raw Materials,Control planets that have a combined resource value of at least 12.,1,secret,status phase,pok,
Mechanize The Military,Have 1 mech on each of 4 planets.,1,secret,status phase,pok,
Occupy The Fringe,Have 9 or more ground forces on a planet that does not contain 1 of your space docks .,1,secret,status phase,pok,
Produce En Masse,Have units with a combined PRODUCTION value of at least 8 in a single system.,1,secret,status phase,pok,
Seize An Icon,Control a legendary planet .,1,secret,status phase,pok,
Stake your Claim,Control a planet in a system that contains a planet controlled by another player.,1,secret,status phase,pok,
Strengthen Bonds,Have another player's promissory note in your play area.,1,secret,status phase,pok,
Dictate Policy,There are 3 or more laws in play.,1,secret,agenda phase,pok,
Drive the Debate,You or a planet you control are elected by an agenda .,1,secret,agenda phase,pok,
Make an Example of Their World Ω,Destroy the last of a player's ground forces on a planet during the bombardment step.,1,secret,action phase,codex 3,
Turn Their Fleets to Dust Ω,Destroy the last of a player's non-fighter ships in the active system during the space cannon offense step.,1,secret,action phase,codex 3,
Fight With Precision Ω,Destroy the last of a player's fighters in the active system during the anti-fighter barrage step.,1,secret,action phase,codex 3,
